ZCTA5CE20,rat_sightings,population,poverty_rate,borough,pop_white,pop_black,rats_per_1000,white_prop,black_prop,white_pct,black_pct,poverty_pct
10303,223,26497,0.1785619728431483,Staten Island,11031,10756,8.41604709967166,0.4163112805223233,0.4059327471034457,41.63112805223233,40.593274710344566,17.856197284314828
10304,350,45658,0.1833844488544109,Staten Island,21238,13546,7.665688378816418,0.4651539708265802,0.29668404222699196,46.51539708265802,29.668404222699195,18.338444885441092
10305,443,41270,0.1111002229353977,Staten Island,27652,2275,10.7341894838866,0.6700266537436395,0.05512478798158468,67.00266537436394,5.512478798158468,11.110022293539771
10306,430,57428,0.0940041810867312,Staten Island,43936,2434,7.4876366929024165,0.7650623389287455,0.04238350630354531,76.50623389287455,4.238350630354531,9.40041810867312
10307,44,15512,0.0601460042638413,Staten Island,14502,155,2.836513666838577,0.9348891181021145,0.009992264053635895,93.48891181021145,0.9992264053635895,6.0146004263841295
10308,316,30568,0.0609999672571297,Staten Island,26848,621,10.337607956032452,0.878304108872023,0.020315362470557447,87.8304108872023,2.0315362470557448,6.099996725712971
10309,150,34885,0.0709961950882047,Staten Island,31646,276,4.299842339114233,0.9071520710907267,0.007911709903970188,90.71520710907267,0.7911709903970188,7.099619508820471
10310,409,25672,0.1341629930168142,Staten Island,16169,6379,15.93175444063571,0.6298301651604862,0.24848083515113742,62.983016516048615,24.848083515113743,13.41629930168142
10312,560,63469,0.0614252163359235,Staten Island,53520,1253,8.823205029226866,0.8432463092218249,0.019741921252895114,84.3246309221825,1.9741921252895114,6.1425216335923505
10314,488,93915,0.1102505743902833,Staten Island,67902,5021,5.196188042378746,0.7230154927327903,0.053463238034392804,72.30154927327904,5.34632380343928,11.02505743902833
10451,914,50942,0.3325008357751077,Bronx,9272,27649,17.941973224451335,0.18201091437320874,0.5427545051234738,18.201091437320873,54.275450512347376,33.25008357751077
10452,1910,75682,0.3462565042732738,Bronx,12452,33094,25.237176607383525,0.1645305356623768,0.43727702756269654,16.45305356623768,43.72770275626966,34.62565042732738
10453,1162,76282,0.3789723008092637,Bronx,15969,32389,15.232951417110197,0.20934165333892663,0.4245955795600535,20.93416533389266,42.45955795600535,37.89723008092637
10454,694,39570,0.4519669471763155,Bronx,6898,13975,17.538539297447564,0.1743239828152641,0.3531715946424059,17.43239828152641,35.31715946424059,45.19669471763155
10455,936,44801,0.3672756582482536,Bronx,8709,18873,20.89239079484833,0.19439298229950225,0.4212629182384322,19.439298229950225,42.12629182384322,36.72756582482536
10456,1654,87533,0.3860692020672553,Bronx,13461,46765,18.895730752973165,0.153782002216307,0.5342556521540448,15.3782002216307,53.42556521540448,38.60692020672553
10457,1249,79543,0.3276812969756048,Bronx,13959,37380,15.70219881070616,0.17548998654815634,0.4699345008360258,17.548998654815634,46.993450083602575,32.768129697560475
10458,1475,74898,0.3132870077911139,Bronx,15031,18990,19.693449758338005,0.20068626665598546,0.2535448209565008,20.068626665598547,25.354482095650084,31.32870077911139
10459,1104,48270,0.3371868978805395,Bronx,8166,21592,22.871348663766316,0.16917339962709757,0.44731717422829914,16.917339962709757,44.73171742282992,33.71868978805395
10460,1024,59396,0.3421498238959631,Bronx,10358,28881,17.24021819651155,0.17438884773385413,0.4862448649740723,17.438884773385414,48.62448649740723,34.21498238959631
10461,434,52012,0.1602279426213401,Bronx,22680,7094,8.344228255018074,0.43605321848804124,0.1363916019380143,43.605321848804124,13.63916019380143,16.02279426213401
10462,1177,76320,0.2024237933954276,Bronx,16370,20730,15.421907756813418,0.2144916142557652,0.2716194968553459,21.44916142557652,27.16194968553459,20.242379339542758
10463,2340,69470,0.1869086696273411,Manhattan,32541,16146,33.68360443356844,0.46841802216784223,0.23241687059162228,46.841802216784224,23.241687059162228,18.69086696273411
10464,47,3828,0.0519853709508881,Bronx,2999,104,12.277951933124347,0.7834378265412748,0.027168234064785787,78.34378265412748,2.7168234064785786,5.19853709508881
10465,219,45404,0.1415226422456333,Bronx,23991,7452,4.823363580301295,0.5283895692009515,0.16412650867764955,52.83895692009515,16.412650867764956,14.15226422456333
10466,556,71116,0.221188475390156,Bronx,5318,48871,7.81821249789077,0.07477923392766747,0.6872011924180212,7.477923392766747,68.72011924180212,22.118847539015597
10467,2048,96421,0.2763303681661337,Bronx,18146,35301,21.24018626647722,0.1881955175739725,0.3661131911098205,18.81955175739725,36.61131911098205,27.63303681661337
10468,1564,75557,0.2792409245356504,Bronx,13726,21375,20.699604272271266,0.1816641740672605,0.28289900340140556,18.166417406726048,28.289900340140555,27.92409245356504
